id,formula,mid1,mid2,spg1,spg2,de,dist
0,Pb2S2,mp-1012435,mp-1018019,186,194,-0.006, 0.194
2,Al24Sr2O38,mp-1218531,mp-6995,186,194,-0.000, 0.214
4,Fe24Sr2O38,mp-1218653,mp-3742,186,194, 0.009, 0.063
6,Al24Ca2O38,mp-1227489,mp-28234,186,194,-0.000, 0.170
8,Mn4Sr4O12,mp-1218206,mp-19001,186,194, 0.010, 0.101
10,Ba2Fe24O38,mp-1228836,mp-554293,186,194, 0.000, 0.181
12,Ba2Ni2O6,mp-19241,mp-19138,186,194,-0.000, 0.055
14,Mg2O2,mp-549706,mp-1065577,186,194, 0.037, 0.256
16,Al6Sc2C6,mp-568400,mp-4798,186,194, 0.000, 0.110
18,Al2N2,mp-661,mp-13178,186,194,-0.115, 0.313
20,Bi2K12Cl16F8H6,mp-696998,mp-723540,186,194, 0.001, 0.202
22,Nd6F18,mp-18511,mp-18074,185,193,-0.240, 0.790
24,Bi6K18,mp-31286,mp-569940,185,194,-0.000, 0.360
26,W6O18,mp-32662,mp-1191364,185,193,-0.001, 0.094
28,W6O18,mp-32662,mp-32777,185,193,-0.001, 0.090
30,W6O18,mp-32662,mp-545665,185,191,-0.001, 0.142
32,La6F18,mp-334,mp-8354,185,194,-0.019, 0.421
34,La6F18,mp-334,mp-17171,185,193,-0.143, 0.751
36,Na18As6,mp-655,mp-1136,185,194,-0.001, 0.297
38,W6O18,mp-705411,mp-1191364,185,193,-0.001, 0.064
40,W6O18,mp-705411,mp-32777,185,193,-0.000, 0.063
42,W6O18,mp-705411,mp-545665,185,191,-0.001, 0.141
44,Ga6Tm6O18,mp-768469,mp-1101269,185,194,-0.022, 0.292
46,Ga6Lu6O18,mp-768505,mp-755342,185,194,-0.021, 0.295
48,Sc6Y6O18,mp-769007,mp-768479,185,194,-0.011, 0.307
50,Ga6Sc6O18,mp-769079,mp-754165,185,194,-0.013, 0.313
52,Al18Ca2Zr2B2O36,mp-1197323,mp-559642,173,176, 0.000, 0.051
54,Ca10V6O26,mp-1214138,mp-1196692,173,176, 0.020, 0.090
56,Pb10F2O24P6,mp-1220061,mp-21554,173,176, 0.009, 0.796
58,Ca10O26P6,mp-1227239,mp-1195767,173,176, 0.000, 0.099
60,Ca10Cl2O24P6,mp-39460,mp-554236,173,176,-0.001, 0.267
62,Al16Ba8O32,mp-4202,mp-3828,173,182,-0.004, 0.543
64,Y2H6O6,mp-625677,mp-24076,173,176, 0.001, 0.135
66,La2H6O6,mp-625733,mp-625394,173,176, 0.000, 0.248
68,Pb10Br2O24P6,mp-1220062,mp-1210057,173,176,-0.000, 0.066
70,Ca10F2O24P6,mp-1227110,mp-6473,173,176, 0.001, 0.090
72,Ba10F2O24P6,mp-1228113,mp-1214497,173,176,-0.000, 0.201
74,Ga6La6O18,mp-1078871,mp-3336,161,167, 0.001, 0.027
76,Ga6La6O18,mp-1078871,mp-1097026,161,221,-0.058, 0.390
78,Cs6Pb6F18,mp-20282,mp-5811,161,221,-0.004, 0.393
80,Na6Nb6O18,mp-4514,mp-3136,161,221,-0.030, 0.382
82,Na24Zr12O72Si18,mp-555472,mp-6150,161,167, 0.000, 0.086
84,Cs6Sr6Cl18,mp-998561,mp-1213642,161,221,-0.009, 0.553
86,K6I6O18,mp-1080058,mp-558843,161,221,-0.213, 0.441
88,Ba6Li6B54O90,mp-1183402,mp-558890,161,167, 0.007, 0.453
