id,polar_id,spg1,polar_id2,spg2,polar_id1,natom,de,time,dist1,dist2,diff,label
   0, mp-625600,     1,  mp-626577,     2, H2MoO4       ,     14,  -0.001,    0.1,   0.389,   0.392,  0.003, new
   2, mp-626435,     1,  mp-626414,     2, AlH3O3       ,     28,   0.010,    0.2,   0.399,   0.395, -0.004, new
   4, mp-626586,     1,  mp-626577,     2, H2MoO4       ,     14,  -0.077,    0.3,   1.236,   1.142, -0.094, new
   6, mp-626114,     1,  mp-626104,     2, H2O10U3      ,     15,   0.034,    0.2,   1.320,   1.088, -0.232, new
   8, mp-626114,     1,  mp-626062,     2, H2O10U3      ,     15,  -0.034,    0.2,   0.643,   0.657,  0.014, new
  10, mp-626000,     4,  mp-23940 ,    11, HNaO         ,      6,   0.002,    0.0,   0.198,   0.235,  0.037, new
  12, mp-626582,     1,  mp-626577,     2, H2MoO4       ,     14,  -0.048,    0.4,   1.060,   1.076,  0.016, new
  14, mp-565192,     1,  mp-615173,     2, BiCuO8W2     ,     12,   0.000,    0.0,   0.051,   0.096,  0.045, new
  16, mp-554570,     4,  mp-560498,    11, C3ClH10NO4   ,     38,  -0.000,    0.1,   0.275,   0.260, -0.015, new
  18, mp-567594,     4,  mp-28421 ,    11, Cs2HgI4      ,     14,  -0.001,    0.0,   0.075,   0.082,  0.007, new
  20, mp-23535 ,     4,  mp-23495 ,    11, Br4K2Zn      ,     14,   0.001,    0.1,   0.140,   0.184,  0.044, Known
  22, mp-644852,     4,  mp-6568  ,    11, BaC2CaO6     ,     20,  -0.016,    0.1,   0.702,   0.272, -0.430, new
  24, mp-673245,     7,  mp-22895 ,   216, CuI          ,      8,  -0.003,    0.2,   0.115,   0.247,  0.132, new
  26, mp-626721,     4,  mp-643043,    11, HORb         ,      6,   0.007,    0.0,   0.402,   0.340, -0.062, new
  28, mp-762225,     4,  mp-34195 ,    11, BaCO3        ,     10,   0.001,    0.2,   1.307,   1.266, -0.041, new
  30, mp-861938,     4,  mp-12924 ,    11, KLaS4Si      ,     14,   0.003,    0.1,   0.282,   0.227, -0.055, new
  32, mp-561022,     4,  mp-556290,    11, F4MgSr       ,     72,   0.035,   19.9,   0.922,   0.729, -0.193, new
  34, mp-768350,     4,  mp-777744,    14, Ba2F7Y       ,     40,  -0.064,    1.0,   1.263,   1.195, -0.068, new
  36, mp-600236,     4,  mp-555729,    14, C6Cu2H10N4S3 ,    100,  -0.007,    3.4,   0.951,   0.964,  0.013, new
  38, mp-560899,     4,  mp-705495,    14, B3CaH5O8     ,     68,   0.004,    1.4,   0.957,   0.880, -0.077, new
  40, mp-557082,     4,  mp-558226,    19, H2O          ,     36,  -0.001,    4.4,   0.882,   0.527, -0.355, new
  42, mp-557082,     4,  mp-558958,    19, H2O          ,     36,   0.000,    4.4,   0.834,   0.530, -0.304, new
  44, mp-972808,     4,  mp-559091,   182, O2Si         ,     12,  -0.010,    1.0,   1.296,   0.819, -0.477, new
  46, mp-555891,     4,  mp-559091,   182, O2Si         ,     12,  -0.003,    0.8,   0.846,   0.779, -0.067, new
  48, mp-555966,     5,  mp-3943  ,    12, BaO5Ti2      ,     48,   0.003,    0.1,   0.169,   0.194,  0.025, new
  50, mp-600237,     5,  mp-654937,    15, AgC2O2       ,     80,  -0.001,    0.2,   0.142,   0.272,  0.130, new
  52, mp-541950,     5,  mp-557954,    82, GaN5O14      ,     40,   0.002,    0.3,   0.642,   0.563, -0.079, new
  54, mp-550320,     5,  mp-551848,   121, CLi4O4       ,     18,   0.058,    0.3,   0.798,   0.558, -0.240, new
  56, mp-551561,     5,  mp-549869,   121, CK4O4        ,     18,   0.006,    0.1,   0.608,   0.295, -0.313, new
  58, mp-13274 ,     5,  mp-546551,   121, CNa4O4       ,     18,   0.026,    0.3,   0.999,   0.637, -0.362, new
  60, mp-551176,     5,  mp-545760,   121, CO4Rb4       ,     18,   0.003,    0.1,   0.568,   0.286, -0.282, new
  62, mp-625452,     6,  mp-626361,    11, H3O3Pr       ,     14,   0.002,    0.1,   0.140,   0.156,  0.016, new
